# sim/spectral_table.csv -- the committed spectral basis for Q4 (northstar design §8, M1a0).
# Generated by tools/make_spectral_table.py; do not hand-edit.
# producer_commit: 5246a509ff21492c30ba97a51bc5832cc763dba6
# quadrature: trapezoid
# formatter: %.10e , newline \n
# grid: ASTM G173-03 native, 2002 rows, 280-4000 nm
# source: ASTMG173.csv  md5 b31870bd3500b58414100af7e4b0e04c  size 57708 B  pvlib-python commit 2d0ed71e1308293b3081979404f8e90f2f2dde1e
# source: iop2008.dat  md5 cf5f76d58a31aa5f994fa038c390a856  size 16514 B  Warren & Brandt 2008, IOP_2008_ASCIItable.dat
# k_per_m: 4*pi*m_im/lambda, m_im log-space interpolated over 250-4200 nm
# E_AM0: ASTM column 2 (extraterrestrial), W m^-2 nm^-1
# n_ph: E_AM0*lambda/(h c), h 6.62607015e-34 J s, c 299792458.0 m/s
lambda_nm,k_per_m,E_AM0,n_ph
3.7950000000e+02,6.6225932091e-04,1.0980000000e+00,2.0976710666e+18
3.8000000000e+02,6.6138792707e-04,1.1520000000e+00,2.2037348686e+18
3.8050000000e+02,6.6051882336e-04,1.2310000000e+00,2.3579575467e+18
3.8100000000e+02,6.5965200075e-04,1.2490000000e+00,2.3955800169e+18
3.8150000000e+02,6.5878745029e-04,1.1224000000e+00,2.1555865641e+18
3.8200000000e+02,6.5792516306e-04,9.5426000000e-01,1.8350730209e+18
3.8250000000e+02,6.5706513016e-04,8.2313000000e-01,1.5849776316e+18
3.8300000000e+02,6.5620734279e-04,7.3603000000e-01,1.4191148930e+18
3.8350000000e+02,6.5535179214e-04,7.1095000000e-01,1.3725484841e+18
3.8400000000e+02,6.5449846950e-04,8.2100000000e-01,1.5870757255e+18
3.8450000000e+02,6.5364736616e-04,9.8620000000e-01,1.9089062943e+18
3.8500000000e+02,6.5279847347e-04,1.0802000000e+00,2.0935732958e+18
3.8550000000e+02,6.5195178285e-04,1.0296000000e+00,1.9980952341e+18
3.8600000000e+02,6.5110728572e-04,9.9113000000e-01,1.9259330861e+18
3.8650000000e+02,6.5026497358e-04,1.0279000000e+00,1.9999706942e+18
3.8700000000e+02,6.4942483795e-04,1.0354000000e+00,2.0171695018e+18
3.8750000000e+02,6.4858687042e-04,1.0186000000e+00,1.9870035651e+18
3.8800000000e+02,6.4775106260e-04,1.0067000000e+00,1.9663239176e+18
3.8850000000e+02,6.4691740614e-04,9.9743000000e-01,1.9507279980e+18
3.8900000000e+02,6.4608589277e-04,1.0810000000e+00,2.1168913237e+18
3.8950000000e+02,6.4525651422e-04,1.1958000000e+00,2.3447107724e+18
3.9000000000e+02,6.4442926227e-04,1.2519000000e+00,2.4578621071e+18
3.9050000000e+02,6.4902119382e-04,1.2601000000e+00,2.4771329570e+18
3.9100000000e+02,6.5364691717e-04,1.3322000000e+00,2.6222219857e+18
3.9150000000e+02,6.5830668560e-04,1.3490000000e+00,2.6586856022e+18
3.9200000000e+02,6.6300075437e-04,1.2400000000e+00,2.4469833812e+18
3.9250000000e+02,6.6772938062e-04,1.0312000000e+00,2.0375385442e+18
3.9300000000e+02,6.7249282351e-04,7.4500000000e-01,1.4739138192e+18
3.9350000000e+02,6.7729134410e-04,5.9120000000e-01,1.1711227827e+18
3.9400000000e+02,6.8212520549e-04,7.6675000000e-01,1.5208040980e+18
3.9450000000e+02,6.8699467276e-04,1.0557000000e+00,2.0965769014e+18
3.9500000000e+02,6.9190001300e-04,1.2450000000e+00,2.4756526750e+18
3.9550000000e+02,6.9684149534e-04,1.3245000000e+00,2.6370703642e+18
3.9600000000e+02,7.0181939095e-04,1.1626000000e+00,2.3176549129e+18
3.9650000000e+02,7.0683397308e-04,8.4330000000e-01,1.6832497538e+18
3.9700000000e+02,7.1188551702e-04,6.5200000000e-01,1.3030508688e+18
3.9750000000e+02,7.1697430020e-04,9.6142000000e-01,1.9238603893e+18
3.9800000000e+02,7.2210060214e-04,1.3010000000e+00,2.6066554904e+18
3.9850000000e+02,7.2726470447e-04,1.5342000000e+00,3.0777516427e+18
3.9900000000e+02,7.3246689099e-04,1.6245000000e+00,3.2629910232e+18
3.9950000000e+02,7.3770744765e-04,1.6717000000e+00,3.3620053001e+18
4.0000000000e+02,7.4298666257e-04,1.6885000000e+00,3.4000423297e+18
4.0100000000e+02,7.5015045902e-04,1.7520000000e+00,3.5367286628e+18
4.0200000000e+02,7.5738803810e-04,1.8140000000e+00,3.6710187563e+18
4.0300000000e+02,7.6470017851e-04,1.7400000000e+00,3.5300232195e+18
4.0400000000e+02,7.7208766735e-04,1.7630000000e+00,3.5855595935e+18
4.0500000000e+02,7.7955130021e-04,1.7150000000e+00,3.4965715149e+18
4.0600000000e+02,7.8709188128e-04,1.6660000000e+00,3.4050563098e+18
4.0700000000e+02,7.9471022343e-04,1.6300000000e+00,3.3396832721e+18
